"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"公園地山","日方 黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",26,135.210954,34.159584,"","","",0,0,0,0,"海南市日方1307-0","","",""
"城山地区集会所周辺","日方 黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",10.3,135.207492,34.161632,"","","",0,0,0,0,"海南市日方149-1","","",""
"元プライスカット駐車場周辺","黒江 船尾 亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",8.7,135.209739,34.168808,"","","",0,0,0,0,"海南市岡田611-1","","",""
"中言神社周辺","黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",9.9,135.205934,34.164293,"","","",0,0,0,0,"海南市黒江931-0","","",""
"浄國寺周辺","黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",18,135.204326,34.163486,"","","",0,0,0,0,"海南市黒江976-0","","",""
"招魂山ちびっ子広場周辺","黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",11.8,135.203107,34.16256,"","","",0,0,0,0,"海南市船尾19-3","","",""
"妙覚寺周辺","黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",15,135.201205,34.162837,"","","",0,0,0,0,"海南市船尾622-0","","",""
"㈱キンタロー駐車場周辺","黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",15.3,135.198036,34.161003,"","","",0,0,0,0,"海南市船尾317-2","","",""
"ホテル裏側周辺","黒江 船尾","","海南市","避難場所","津波　","","","☆☆☆","","","","","",14,135.193729,34.16054,"","","",0,0,0,0,"海南市船尾398-1","","",""
"恵友病院（6階）","黒江 船尾","津波時は6階","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",14.7,135.199274,34.159093,"","","",0,0,0,100,"海南市船尾264-2","「標高」は津波時の避難場所標高を示す。","",""
"石本病院（屋上）","黒江 船尾","津波時は屋上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",13.8,135.195433,34.15926,"","","",0,0,0,250,"海南市船尾365","「標高」は津波時の避難場所標高を示す。","",""
"総合体育館周辺","日方 大野","","海南市","避難場所","地震　津波　","","","☆☆☆","","","","","",22,135.2300603,34.15663055,"","","",0,0,0,0,"海南市大野中1106-0","","指定緊急避難場所",""
"海南nobinos","日方","津波時は屋上","海南市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　津波浸水予測地域","☆☆☆","☆","耐震　","有","○","○","毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等",19,135.2092848,34.15492137,"","○","○",544,0,136,384,"海南市日方1525-6","「標高」は津波時の避難場所標高を示す。","",""
"冷水地区避難所","冷水","","海南市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","","☆☆☆","非耐震","","","","",25,135.1887404,34.14108827,"○","","",112,0,32,112,"海南市冷水630-1","","指定緊急避難場所","指定避難所"
"みらい子ども園","日方","","海南市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","土砂災害予測地域　津波浸水予測地域","☆☆☆","","","","","","",0,135.208624,34.1561252,"","","",0,0,847,3387,"海南市日方1272-3","","",""
"巽小学校","巽","","海南市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","","☆☆☆","☆☆☆","耐震　","有","○","","毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等",61,135.256275,34.155268,"○","","○",1768,0,449,1798,"海南市重根1203-0","","",""
"冷水地区集会所","冷水","","海南市","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　津波浸水予測地域","","","耐震　","","","","",3,135.1915127,34.14337194,"","","",162,0,40,0,"海南市冷水325-31","","",""
