"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"グループホーム風の里","","","紀の川市","福祉避難所","崖崩れ・土石流及び地滑り　高潮　地震　津波　","浸水予測地域　","","","耐震　","","","","",39,135.40251,34.2689017,"","","",0,0,0,4,"紀の川市粉河951-1","","",""
"紀の川市社会福祉協議会介護サービス南事業所","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","","","","",90,135.349787,34.219576,"","","",0,0,0,5,"紀の川市桃山町　最上1253-2","肢体不自由者対応可","",""
"風の里デイサービスセンター","","","紀の川市","福祉避難所","崖崩れ・土石流及び地滑り　高潮　地震　津波　","浸水予測地域　","","","耐震　","","","","",39,135.40251,34.2689017,"","","",0,0,0,5,"紀の川市粉河951-1","","",""
"介護老人保健施設さくらの丘","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","","","","",43,135.379901,34.2633049,"○","","○",0,0,0,5,"紀の川市黒土153-0","","",""
"大原集会所","大原","","紀の川市","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","","☆（注）","","耐震　","有","○","○","飲料水、パン、毛布等",184,135.3841518,34.21778246,"○","○","",56,0,28,0,"紀の川市桃山町　大原667-3","","",""
"黒川集会所","黒川","","紀の川市","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","","☆（注）","","耐震　","有","○","○","飲料水、パン、毛布等",156,135.4124076,34.21656508,"○","○","",33.31,0,16,0,"紀の川市桃山町　黒川1667-1","","",""
"善田地区総合営農指導センター","善田","","紀の川市","避難所を兼ねる避難場所","地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、毛布等",188,135.394856,34.2208412,"○","○","",98,0,49,0,"紀の川市桃山町　善田741-2","","",""
"鞆渕小・中学校（体育館）","中鞆渕","","紀の川市","避難所を兼ねる避難場所","洪水　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","有","○","○","飲料水、パン、毛布等",320,135.457726,34.219028,"○","○","",385,0,385,0,"紀の川市中鞆渕968-1","","","指定避難所"
"和歌山県農業試験場","地区を限定しない","","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、毛布等",53,135.321531,34.2006557,"○","○","",661,0,400,0,"紀の川市貴志川町　高尾160-0","","","指定避難所"
"竜門小学校（体育館）","荒見  遠方  風市 エバーグリーン 上勝神 下勝神 杉原","","紀の川市","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　高潮　地震　津波　大規模な火事","浸水予測地域　","☆","","耐震　","有","○","○","飲料水、パン、毛布等",33,135.402277,34.2577698,"○","○","",739,0,400,0,"紀の川市杉原257-1","","","指定避難所"
"名手小学校","東元町  西元町  藤崎（北 南） 後田（東 西 南 北）","体育館:避難所　運動場:避難場所","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、毛布等",51,135.433309,34.2708709,"○","○","",1081,6195,590,2480,"紀の川市名手西野328-0","体育館は避難所
収容人数590人
運動場は避難場所
収容人数2480人","指定緊急避難場所","指定避難所"
"麻生津小学校（体育館）","赤沼田下  横谷（北 南）  麻生津中（東 西） 北涌（東 西 中） 西脇（東 西 北 中） 飯盛","","紀の川市","避難所を兼ねる避難場所","洪水　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆☆","","耐震　","有","○","○","飲料水、パン、毛布等",49,135.444583,34.2657427,"○","○","",435,0,235,0,"紀の川市麻生津中16-0","","","指定避難所"
"粉河中学校（体育館）","リバーサイド粉河  松井（粉河） 松井","","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、毛布等",39,135.402762,34.2698492,"○","○","",1701,0,920,0,"紀の川市粉河925-0","","","指定避難所"
